"STORE_CD","L12M_TY_QTY","CITY","PREMISE_TYPE_DSC","STORE_STTS_DSC","CHANNEL_DSC","SUBCHANNEL_DSC","NO_OF_STORES_DSC","FOOD_TYPE_GROUP_DSC","FIPS_COUNTY_DSC","NIELSEN_SIZE_DSC","INDUSTRY_VOL_DSC","PATRON_ETHNICITY_DSC","PATRON_OCCUPATION_DSC","PATRON_AGE_DSC","LATITUDE","LONGITUDE","WEEKLY_VOLUME","SQ_FT","EMPLOYEE_EQV","NBR_OF_CHECKOUT","CHAIN_IND_FLG","FRANCHISE_FLG","GAS_FLG","PHARMACY_FLG","HI_VOL_CIG_FLG","BEER_FLG","WINE_FLG","LIQUOR_FLG","FINE_WINE_FLG","WHITE_POP_PCT","BLACK_POP_PCT","ASIAN_POP_PCT","HISP_POP_PCT","LEAST_ACC_HISP_POP_PCT","BI_CULTURAL_HISP_POP_PCT","MOST_ACC_HISP_POP_PCT","OTHER_POP_PCT","INCOME_POP_L10_PCT","INCOME_POP_1020_PCT","INCOME_POP_2030_PCT","INCOME_POP_3040_PCT","INCOME_POP_4050_PCT","INCOME_POP_5075_PCT","INCOME_POP_75100_PCT","INCOME_POP_G100_PCT","MALE_POP_2124_PCT","MALE_POP_2534_PCT","MALE_POP_3544_PCT","MALE_POP_4554_PCT","MALE_POP_5564_PCT","MALE_POP_6574_PCT","MALE_POP_75_PCT","FEMALE_POP_2124_PCT","FEMALE_POP_2534_PCT","FEMALE_POP_3544_PCT","FEMALE_POP_4554_PCT","FEMALE_POP_5564_PCT","FEMALE_POP_6574_PCT","FEMALE_POP_75_PCT"
"107350992",,"MANHATTAN","ON PREMISE","OPEN STORE","LODGING","FULL SERVICE LODGING","1 STORE","OTHER","RILEY","URBAN ALL OTHER COUNTIES","UNKNOWN","","","",39.187,-96.5751,0,0,0,0,"N","N","N","N","N","Y","Y","Y","N",0.7775,0.067,0.0503,0.0791,0.0135,0.0236,0.0419,0.0205,0.0762,0.081,0.1011,0.1093,0.1055,0.1891,0.1211,0.2166,0.0794,0.1022,0.0599,0.0399,0.0406,0.0272,0.0157,0.0651,0.0848,0.0572,0.0409,0.0441,0.0294,0.022
"101934244",,"GOODLAND","ON PREMISE","RECLASSIFIED STORE","LODGING","FULL SERVICE LODGING","1 STORE","OTHER","WABAUNSEE","URBAN ALL OTHER COUNTIES","UNKNOWN","","","",39,-96,0,0,0,0,"Y","Y","N","N","N","Y","Y","Y","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"107367856",,"TOPEKA","ON PREMISE","OPEN STORE","DINING","FAST CASUAL","1 STORE","AMERICAN","SHAWNEE","20K=85K HOUSEHOLDS","UNKNOWN","","","",39.0456,-95.7619,0,0,0,0,"Y","Y","N","N","N","Y","Y","N","N",0.8123,0.0674,0.0226,0.0713,0.0134,0.0213,0.0365,0.0184,0.0492,0.0787,0.0975,0.1022,0.0891,0.2004,0.1339,0.249,0.0218,0.0669,0.0612,0.0555,0.0607,0.0452,0.0323,0.0228,0.0704,0.062,0.0596,0.0726,0.0554,0.0515
"101739342",,"GENESEO","ON PREMISE","OPEN STORE","RECREATION","PRIVATE CLUB","1 STORE","OTHER","RICE","URBAN ALL OTHER COUNTIES","UNKNOWN","","","",38.5156,-98.1566,0,0,0,0,"Y","Y","N","N","N","Y","Y","Y","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101926760",,"OBERLIN","ON PREMISE","RECLASSIFIED STORE","DINING","CASUAL DINING","1 STORE","VARIED MENU","DECATUR","URBAN ALL OTHER COUNTIES","UNKNOWN","","","",0,0,0,0,0,0,"N","N","N","N","N","Y","Y","N","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101824264",,"TOPEKA","OFF PREMISE","RECLASSIFIED STORE","CONVENIENCE STORE","GAS STATION/KIOSK","501+ STORES","OTHER","SHAWNEE","20K=85K HOUSEHOLDS","UNKNOWN","","","",39.0153,-95.6514,0,0,0,0,"Y","N","N","N","N","Y","N","N","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"103458492",,"FALL RIVER","OFF PREMISE","OPEN STORE","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","1 STORE","OTHER","GREENWOOD","URBAN ALL OTHER COUNTIES","UNKNOWN","","","",37.6078,-96.028,20,1,0,0,"N","N","N","N","N","Y","N","N","N",0.9327,0.0058,0.0039,0.0351,0.0053,0.0092,0.0205,0.0123,0.0417,0.0843,0.115,0.1275,0.1291,0.2314,0.1265,0.1445,0.0182,0.0387,0.045,0.0629,0.0983,0.0864,0.0614,0.0175,0.0376,0.0392,0.0619,0.0963,0.0763,0.0563
"103694520",,"KANSAS CITY","ON PREMISE","OPEN STORE","DINING","CASUAL DINING","501+ STORES","ITALIAN","WYANDOTTE","MORE THAN 85K HOUSEHOLDS","UNKNOWN","","","",39.1288,-94.8291,0,0,0,0,"Y","N","N","N","N","Y","Y","Y","N",0.6889,0.1919,0.0256,0.0724,0.0146,0.0241,0.0336,0.0169,0.0311,0.0659,0.0755,0.0821,0.0785,0.1963,0.1555,0.3152,0.0248,0.0589,0.0641,0.0632,0.0638,0.0395,0.0218,0.0247,0.0614,0.0674,0.0668,0.0703,0.0456,0.0324
"100766228",614.75,"MANHATTAN","OFF PREMISE","OPEN STORE","LIQUOR","CONVENTIONAL LIQUOR","1 STORE","OTHER","RILEY","URBAN ALL OTHER COUNTIES","TOP 50% ON/ TOP 20% OFF","GENERAL POPULATION","OTHER","UNKNOWN",39.1924,-96.6108,10,4,0,0,"N","N","N","N","N","Y","Y","Y","N",0.7785,0.0523,0.0719,0.0742,0.0117,0.0222,0.0402,0.0191,0.0586,0.0578,0.0788,0.0896,0.0857,0.1857,0.1175,0.3263,0.0793,0.1064,0.0599,0.041,0.0466,0.0339,0.0198,0.0638,0.0854,0.0565,0.0429,0.0522,0.0372,0.0258
"100558459",41,"JUNCTION CITY","OFF PREMISE","OPEN STORE","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","6-10 STORES","OTHER","GEARY","URBAN ALL OTHER COUNTIES","LOWEST 20% ON/ LOWEST 20% OFF","UNKNOWN","UNKNOWN","UNKNOWN",39.0215,-96.818,35,2,0,0,"Y","N","N","N","N","Y","N","N","N",0.6504,0.1406,0.0332,0.1328,0.0238,0.0385,0.0706,0.0336,0.0597,0.0908,0.1168,0.1475,0.182,0.2088,0.0969,0.0975,0.0658,0.1124,0.056,0.0433,0.0409,0.0252,0.0169,0.0491,0.0823,0.0514,0.0386,0.0413,0.0278,0.0231
