"STORE_CD","L12M_TY_QTY","CITY","PREMISE_TYPE_DSC","STORE_STTS_DSC","CHANNEL_DSC","SUBCHANNEL_DSC","NO_OF_STORES_DSC","FOOD_TYPE_GROUP_DSC","FIPS_COUNTY_DSC","NIELSEN_SIZE_DSC","INDUSTRY_VOL_DSC","PATRON_ETHNICITY_DSC","PATRON_OCCUPATION_DSC","PATRON_AGE_DSC","LATITUDE","LONGITUDE","WEEKLY_VOLUME","SQ_FT","EMPLOYEE_EQV","NBR_OF_CHECKOUT","CHAIN_IND_FLG","FRANCHISE_FLG","GAS_FLG","PHARMACY_FLG","HI_VOL_CIG_FLG","BEER_FLG","WINE_FLG","LIQUOR_FLG","FINE_WINE_FLG","WHITE_POP_PCT","BLACK_POP_PCT","ASIAN_POP_PCT","HISP_POP_PCT","LEAST_ACC_HISP_POP_PCT","BI_CULTURAL_HISP_POP_PCT","MOST_ACC_HISP_POP_PCT","OTHER_POP_PCT","INCOME_POP_L10_PCT","INCOME_POP_1020_PCT","INCOME_POP_2030_PCT","INCOME_POP_3040_PCT","INCOME_POP_4050_PCT","INCOME_POP_5075_PCT","INCOME_POP_75100_PCT","INCOME_POP_G100_PCT","MALE_POP_2124_PCT","MALE_POP_2534_PCT","MALE_POP_3544_PCT","MALE_POP_4554_PCT","MALE_POP_5564_PCT","MALE_POP_6574_PCT","MALE_POP_75_PCT","FEMALE_POP_2124_PCT","FEMALE_POP_2534_PCT","FEMALE_POP_3544_PCT","FEMALE_POP_4554_PCT","FEMALE_POP_5564_PCT","FEMALE_POP_6574_PCT","FEMALE_POP_75_PCT"
"207369091",29,"OKEMAH","OFF PREMISE","OPEN STORE","MASS MERCHANDISER","DOLLAR STORE","501+ STORES","OTHER","OKFUSKEE","URBAN ALL OTHER COUNTIES","LOWEST 20% ON/ LOWEST 20% OFF","UNKNOWN","UNKNOWN","UNKNOWN",35.4353,-96.2985,90,9,0,0,"Y","N","N","N","N","Y","N","N","N",0.6689,0.0378,0.0032,0.0232,0.0047,0.0079,0.0106,0.0531,0.0666,0.1368,0.1313,0.1195,0.1076,0.1965,0.1085,0.1333,0.026,0.0507,0.0536,0.061,0.0582,0.0563,0.0302,0.0254,0.0563,0.056,0.0593,0.0622,0.0581,0.0403
"107488438",,"OKLAHOMA CITY","OFF PREMISE","OPEN STORE","LIQUOR","CONVENTIONAL LIQUOR","1 STORE","OTHER","OKLAHOMA","MORE THAN 85K HOUSEHOLDS","MID 30% ON/ MID 60% OFF","GENERAL POPULATION","OTHER","GENERAL POPULATION",35.5513,-97.5654,10,3,0,0,"N","N","N","N","N","Y","Y","Y","N",0.8224,0.0483,0.0225,0.048,0.0091,0.0168,0.022,0.0305,0.0342,0.054,0.0711,0.0835,0.0828,0.1548,0.1373,0.3823,0.017,0.0778,0.0684,0.0548,0.0657,0.0473,0.035,0.0171,0.0837,0.0688,0.0564,0.0764,0.0586,0.0522
"103957851",62.25,"SENTINEL","ON PREMISE","OPEN STORE","DINING","FAST CASUAL","1 STORE","SEAFOOD","WASHITA","URBAN ALL OTHER COUNTIES","MID 30% ON/ MID 60% OFF","HISPANIC (GENERAL)","UNKNOWN","UNKNOWN",35.1589,-99.1758,0,0,0,0,"N","N","N","N","N","Y","N","N","N",0.8318,0.0039,0.0004,0.1181,0.0323,0.0311,0.0547,0.0247,0.0592,0.0945,0.1044,0.1138,0.1144,0.1808,0.1468,0.186,0.0252,0.0582,0.053,0.067,0.07,0.0522,0.0328,0.0279,0.0535,0.0492,0.0622,0.0687,0.0484,0.0447
"100275418",891.7501,"TULSA","OFF PREMISE","OPEN STORE","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","1 STORE","OTHER","TULSA","MORE THAN 85K HOUSEHOLDS","LOWEST 20% ON/ LOWEST 20% OFF","GENERAL POPULATION","WHITE COLLAR","GENERAL POPULATION",36.1187,-95.8684,35,3,0,0,"N","N","N","N","N","Y","N","N","N",0.4934,0.1272,0.025,0.265,0.0572,0.1064,0.1015,0.0479,0.0667,0.1003,0.1267,0.1282,0.1173,0.2244,0.1175,0.1188,0.0249,0.0795,0.0689,0.0545,0.0438,0.0303,0.0226,0.0241,0.0759,0.0682,0.0524,0.0527,0.0397,0.0352
"101969797",0,"LAWTON","ON PREMISE","OPEN STORE","RECREATION","GOLF/COUNTRY CLUB","1 STORE","OTHER","COMANCHE","20K=85K HOUSEHOLDS","LOWEST 20% ON/ LOWEST 20% OFF","UNKNOWN","UNKNOWN","UNKNOWN",34.6091,-98.4493,0,0,0,0,"N","N","N","N","N","Y","Y","Y","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"102954896",2,"CAMERON","ON PREMISE","OPEN STORE","DINING","FAST CASUAL","1 STORE","PIZZA","LE FLORE","URBAN ALL OTHER COUNTIES","MID 30% ON/ MID 60% OFF","GENERAL POPULATION","WHITE COLLAR","GENERAL POPULATION",35.189,-94.4989,0,0,0,0,"N","N","N","N","N","Y","N","N","N",0.8491,0.0304,0.0137,0.0172,0.004,0.006,0.0072,0.0306,0.0712,0.1177,0.109,0.1024,0.1002,0.2213,0.1211,0.157,0.0263,0.054,0.0576,0.0687,0.0702,0.0561,0.0296,0.0257,0.0542,0.0598,0.0671,0.0787,0.0588,0.0375
"101645588",14,"OKEMAH","OFF PREMISE","OPEN STORE","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","1 STORE","OTHER","OKFUSKEE","URBAN ALL OTHER COUNTIES","LOWEST 20% ON/ LOWEST 20% OFF","GENERAL POPULATION","UNKNOWN","GENERAL POPULATION",35.4497,-96.3014,20,2,0,0,"N","N","N","N","N","Y","N","N","N",0.6754,0.0238,0.0023,0.0204,0.0038,0.007,0.0096,0.0628,0.0652,0.1408,0.1322,0.1239,0.1179,0.1967,0.1133,0.1099,0.0268,0.0509,0.054,0.064,0.0579,0.0547,0.0297,0.0249,0.0545,0.0559,0.0641,0.0641,0.0573,0.0362
"100616888",1291.0003,"OKLAHOMA CITY","OFF PREMISE","OPEN STORE","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","101-200 STORES","OTHER","OKLAHOMA","MORE THAN 85K HOUSEHOLDS","MID 30% ON/ MID 60% OFF","HISPANIC (GENERAL)","UNKNOWN","UNKNOWN",35.4497,-97.4922,40,2,0,0,"Y","N","N","N","N","Y","N","N","N",0.3392,0.1295,0.0158,0.449,0.1205,0.178,0.1504,0.0273,0.1281,0.1566,0.1357,0.1308,0.118,0.1721,0.0886,0.0701,0.028,0.0806,0.0627,0.0506,0.0482,0.0271,0.0125,0.028,0.0779,0.0667,0.0486,0.0455,0.0252,0.0186
"100576380",59.75,"BROKEN ARROW","OFF PREMISE","OPEN STORE","DRUG","CONVENTIONAL DRUG","501+ STORES","OTHER","TULSA","MORE THAN 85K HOUSEHOLDS","LOWEST 20% ON/ LOWEST 20% OFF","GENERAL POPULATION","WHITE COLLAR","GENERAL POPULATION",36.004,-95.7976,200,9,0,0,"Y","N","N","N","N","Y","N","N","N",0.8165,0.031,0.0161,0.0464,0.006,0.018,0.0224,0.0398,0.0204,0.0524,0.0598,0.0747,0.0735,0.2153,0.1852,0.3187,0.0273,0.0624,0.0663,0.0624,0.0606,0.0377,0.0199,0.026,0.0643,0.0697,0.0686,0.0683,0.0453,0.0285
"103899933",,"LAWTON","ON PREMISE","OPEN STORE","DINING","CASUAL DINING","1 STORE","AMERICAN","COMANCHE","20K=85K HOUSEHOLDS","LOWEST 20% ON/ LOWEST 20% OFF","UNKNOWN","UNKNOWN","UNKNOWN",34.6054,-98.3958,0,0,0,0,"N","N","N","N","N","Y","Y","Y","N",0.5548,0.1821,0.0354,0.1304,0.0273,0.0288,0.0744,0.0425,0.0812,0.1323,0.1299,0.1166,0.1078,0.1768,0.1064,0.1491,0.0257,0.0884,0.0663,0.0568,0.0534,0.0304,0.0187,0.0252,0.0859,0.0659,0.0563,0.0584,0.0363,0.0278
