"STORE_CD","L12M_TY_QTY","CITY","PREMISE_TYPE_DSC","STORE_STTS_DSC","CHANNEL_DSC","SUBCHANNEL_DSC","NO_OF_STORES_DSC","FOOD_TYPE_GROUP_DSC","FIPS_COUNTY_DSC","NIELSEN_SIZE_DSC","INDUSTRY_VOL_DSC","PATRON_ETHNICITY_DSC","PATRON_OCCUPATION_DSC","PATRON_AGE_DSC","LATITUDE","LONGITUDE","WEEKLY_VOLUME","SQ_FT","EMPLOYEE_EQV","NBR_OF_CHECKOUT","CHAIN_IND_FLG","FRANCHISE_FLG","GAS_FLG","PHARMACY_FLG","HI_VOL_CIG_FLG","BEER_FLG","WINE_FLG","LIQUOR_FLG","FINE_WINE_FLG","WHITE_POP_PCT","BLACK_POP_PCT","ASIAN_POP_PCT","HISP_POP_PCT","LEAST_ACC_HISP_POP_PCT","BI_CULTURAL_HISP_POP_PCT","MOST_ACC_HISP_POP_PCT","OTHER_POP_PCT","INCOME_POP_L10_PCT","INCOME_POP_1020_PCT","INCOME_POP_2030_PCT","INCOME_POP_3040_PCT","INCOME_POP_4050_PCT","INCOME_POP_5075_PCT","INCOME_POP_75100_PCT","INCOME_POP_G100_PCT","MALE_POP_2124_PCT","MALE_POP_2534_PCT","MALE_POP_3544_PCT","MALE_POP_4554_PCT","MALE_POP_5564_PCT","MALE_POP_6574_PCT","MALE_POP_75_PCT","FEMALE_POP_2124_PCT","FEMALE_POP_2534_PCT","FEMALE_POP_3544_PCT","FEMALE_POP_4554_PCT","FEMALE_POP_5564_PCT","FEMALE_POP_6574_PCT","FEMALE_POP_75_PCT"
"201647164",22,"SALT LAKE CITY","ON PREMISE","OPEN STORE","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","1 STORE","AMERICAN","SALT LAKE","MORE THAN 85K HOUSEHOLDS","LOWEST 20% ON/ LOWEST 20% OFF","GENERAL POPULATION","UNKNOWN","GENERAL POPULATION",40.7564,-111.8946,0,0,0,0,"N","N","N","N","N","Y","Y","Y","N",0.7079,0.0258,0.0694,0.1644,0.0405,0.0486,0.0753,0.0202,0.1042,0.1181,0.116,0.1072,0.0907,0.1658,0.109,0.189,0.0262,0.1283,0.0863,0.0652,0.0557,0.0343,0.0188,0.0271,0.1038,0.0762,0.0468,0.0457,0.0347,0.0282
"405617095",63,"SALT LAKE CITY","ON PREMISE","OPEN STORE","BAR/NIGHTCLUB","CASUAL NIGHTCLUB","1 STORE","OTHER","SALT LAKE","MORE THAN 85K HOUSEHOLDS","MID 30% ON/ MID 60% OFF","GENERAL POPULATION","UNKNOWN","GENERAL POPULATION",40.667,-111.8911,0,0,0,0,"N","N","N","N","N","Y","Y","Y","N",0.7483,0.0141,0.0581,0.1574,0.0292,0.0507,0.0775,0.0152,0.0367,0.0594,0.0746,0.0836,0.0822,0.204,0.1561,0.3034,0.0266,0.0831,0.0725,0.0563,0.051,0.032,0.0184,0.0264,0.0808,0.0708,0.056,0.0541,0.0362,0.0261
"101437218",4425.1666,"WEST VALLEY CITY","OFF PREMISE","OPEN STORE","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","1 STORE","OTHER","SALT LAKE","MORE THAN 85K HOUSEHOLDS","MID 30% ON/ MID 60% OFF","ASIAN(GENERAL)","UNKNOWN","GENERAL POPULATION",40.6966,-112.0623,40,3,0,0,"N","N","N","N","N","Y","N","N","N",0.6426,0.0084,0.0533,0.2753,0.0467,0.0905,0.1381,0.0125,0.0151,0.0547,0.0738,0.0946,0.092,0.2601,0.2073,0.2025,0.0282,0.0753,0.0775,0.0542,0.0438,0.0235,0.0096,0.0284,0.076,0.0746,0.0505,0.0462,0.0256,0.0128
"103971132",202.7497,"PARK CITY","OFF PREMISE","OPEN STORE","EXTENDED MASTER OFF-PREMISE","ETHNIC MARKETS","1 STORE","OTHER","SUMMIT","URBAN ALL OTHER COUNTIES","LOWEST 20% ON/ LOWEST 20% OFF","HISPANIC (GENERAL)","UNKNOWN","GENERAL POPULATION",40.7005,-111.5081,0,0,0,0,"N","N","N","N","N","N","N","N","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"103782257",0,"MILFORD","ON PREMISE","OPEN STORE","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","1 STORE","VARIED MENU","BEAVER","URBAN ALL OTHER COUNTIES","LOWEST 20% ON/ LOWEST 20% OFF","GENERAL POPULATION","UNKNOWN","GENERAL POPULATION",38.3934,-113.0116,0,0,0,0,"N","N","N","N","N","Y","Y","Y","N",0.8604,0.0058,0.0082,0.1,0.0229,0.0264,0.0507,0.0147,0.0393,0.0823,0.1172,0.0921,0.0668,0.1783,0.1841,0.24,0.0299,0.0588,0.0715,0.0555,0.0569,0.0359,0.0194,0.0256,0.0573,0.0679,0.0439,0.0568,0.0371,0.0264
"107293179",,"PARK CITY","ON PREMISE","OPEN STORE","DINING","CASUAL DINING","1 STORE","AMERICAN","SUMMIT","URBAN ALL OTHER COUNTIES","UNKNOWN","","","",40.684,-111.5539,0,0,0,0,"N","N","N","N","N","Y","Y","Y","N",0.8358,0.0043,0.0295,0.114,0.0204,0.0397,0.0539,0.0137,0.0226,0.0257,0.0349,0.0337,0.0398,0.117,0.1044,0.6218,0.0253,0.0616,0.0642,0.0804,0.0792,0.0456,0.0165,0.0218,0.0571,0.0633,0.0847,0.0788,0.0429,0.0142
"102581237",,"SALT LAKE CITY","ON PREMISE","OPEN STORE","DINING","CASUAL DINING","1 STORE","VARIED MENU","SALT LAKE","MORE THAN 85K HOUSEHOLDS","UNKNOWN","","","",40.6524,-111.8661,0,0,0,0,"N","N","N","N","N","Y","Y","Y","N",0.8236,0.0144,0.044,0.0955,0.0213,0.0258,0.0483,0.0157,0.0358,0.0663,0.0788,0.0876,0.0895,0.2098,0.1433,0.289,0.0233,0.0827,0.0709,0.0526,0.0533,0.037,0.0277,0.0237,0.0839,0.0702,0.0554,0.0599,0.0462,0.0414
"103193314",,"HERRIMAN","ON PREMISE","OPEN STORE","DINING","CASUAL DINING","1 STORE","ETHNIC","SALT LAKE","MORE THAN 85K HOUSEHOLDS","UNKNOWN","","","",40.5081,-112.0228,0,0,0,0,"N","N","N","N","N","Y","Y","N","N",0.8821,0.0046,0.0318,0.0676,0.0087,0.0198,0.0391,0.0117,0.0078,0.0169,0.0288,0.037,0.0367,0.2009,0.1856,0.4861,0.0267,0.0648,0.0797,0.057,0.0326,0.0152,0.0059,0.0262,0.0748,0.0811,0.0539,0.0318,0.0169,0.007
"103884831",,"PROVO","ON PREMISE","RECLASSIFIED STORE","DINING","CASUAL DINING","1 STORE","STEAK","UTAH","20K=85K HOUSEHOLDS","UNKNOWN","","","",40.2621,-111.6264,0,0,0,0,"N","N","N","N","N","Y","N","N","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101672511",,"PROVO","ON PREMISE","OPEN STORE","DINING","CASUAL DINING","1 STORE","ETHNIC","UTAH","20K=85K HOUSEHOLDS","UNKNOWN","","","",40.2399,-111.6589,0,0,0,0,"N","N","N","N","N","Y","Y","Y","N",0.7873,0.0069,0.0424,0.1357,0.0253,0.0542,0.0562,0.0222,0.0793,0.1359,0.1402,0.1232,0.1086,0.1786,0.0998,0.1343,0.1024,0.1023,0.0542,0.0256,0.0214,0.0148,0.0108,0.1175,0.0826,0.0507,0.0264,0.0241,0.0173,0.0152
